university_name,original_address,lat,lng,place_id,location_type,il,ilce,mahalle,postal_code,has_university,has_establishment,has_poi,is_private,types_count,bolge,sehir_kategori,lat_kategori,lng_kategori
Doğuş University,"Doğuş University, , Türkiye",41.001717,29.176089,ChIJr2gQO_bHyhQRhO9gjMqmvNI,ROOFTOP,İstanbul,Ümraniye,Dudullu OSB,34775,True,True,True,False,4,Marmara,Büyükşehir,Kuzey,Batı
Fatih Sultan Mehmet Vakıf University,"Fatih Sultan Mehmet Vakıf University, , Türkiye",41.018606,29.022363,ChIJ-Q9x-B-4yhQRQZp5ILbnbEY,ROOFTOP,İstanbul,Üsküdar,Valide-i Atik,34664,True,True,True,True,3,Marmara,Büyükşehir,Kuzey,Batı
Fenerbahçe University,"Fenerbahçe University, , Türkiye",40.99419410000001,29.121061,ChIJ_eGP9kXJyhQRZBb7ViIvESM,GEOMETRIC_CENTER,İstanbul,Ataşehir,Atatürk,34758,True,True,True,False,3,Marmara,Büyükşehir,Kuzey,Batı
Haliç University,"Haliç University, , Türkiye",41.0858518,28.9521866,ChIJlVhF5q23yhQR4rVGZaHVYoE,ROOFTOP,İstanbul,Eyüpsultan,5. Levent,34060,True,True,True,False,3,Marmara,Büyükşehir,Kuzey,Batı
Ibn Haldun University,"Ibn Haldun University, , Türkiye",41.1380494,28.7958172,ChIJgW8TIUyvyhQRtEEMf_tjRkc,GEOMETRIC_CENTER,İstanbul,Başakşehir,Başak,34480,True,True,True,False,4,Marmara,Büyükşehir,Kuzey,Batı
Istanbul 29 Mayıs University,"Istanbul 29 Mayıs University, , Türkiye",41.0323125,29.098979,ChIJhyTrf8LJyhQRctbTwPOj1uM,GEOMETRIC_CENTER,İstanbul,Ümraniye,Elmalıkent,34764,True,True,True,False,4,Marmara,Büyükşehir,Kuzey,Batı
Istanbul Arel University,"Istanbul Arel University, , Türkiye",38.963745,35.243322,ChIJcSZPllwVsBQRKl9iKtTb2UA,APPROXIMATE,,,,,False,False,False,False,2,Diğer,İl,Orta,Orta
Istanbul Atlas University,"Istanbul Atlas University, , Türkiye",41.0980536,28.9787565,ChIJ1V3tdCu3yhQRJ2gnCPWMHHc,ROOFTOP,İstanbul,Kağıthane,Hamidiye,34403,True,True,True,False,3,Marmara,Büyükşehir,Kuzey,Batı
Istanbul Aydın University,"Istanbul Aydın University, , Türkiye",40.9905166,28.7971611,ChIJbWBZ25ajyhQRtOkU63sUlGU,ROOFTOP,İstanbul,Küçükçekmece,Beşyol,34295,True,True,True,False,3,Marmara,Büyükşehir,Kuzey,Batı
Istanbul Beykent University,"Istanbul Beykent University, , Türkiye",41.117278,29.003757,ChIJ_-6ni7W1yhQR0EhIrTULVjE,ROOFTOP,İstanbul,Sarıyer,Ayazağa,34398,True,True,True,False,3,Marmara,Büyükşehir,Kuzey,Batı
Istanbul Bilgi University,"Istanbul Bilgi University, , Türkiye",41.0082376,28.9783589,ChIJawhoAASnyhQR0LABvJj-zOE,APPROXIMATE,İstanbul,,,,False,False,False,False,2,Marmara,Büyükşehir,Kuzey,Batı
Istanbul Commerce University,"Istanbul Commerce University, , Türkiye",41.0082376,28.9783589,ChIJawhoAASnyhQR0LABvJj-zOE,APPROXIMATE,İstanbul,,,,False,False,False,False,2,Marmara,Büyükşehir,Kuzey,Batı
Istanbul Esenyurt University,"Istanbul Esenyurt University, , Türkiye",41.0204138,28.6870992,ChIJk9l-1LqgyhQR6zgltYLek_g,ROOFTOP,İstanbul,Esenyurt,Zafer,34510,True,True,True,False,3,Marmara,Büyükşehir,Kuzey,Batı
Istanbul Galata University,"Istanbul Galata University, , Türkiye",41.029577,28.97284,ChIJJQ7DYGa5yhQRA4B0GvikHgE,ROOFTOP,İstanbul,Beyoğlu,Tepebaşı,34430,True,True,True,False,3,Marmara,Büyükşehir,Kuzey,Batı
Istanbul Gedik University,"Istanbul Gedik University, , Türkiye",40.9015423,29.2193774,ChIJnau7lrrEyhQR09_XUQx-iJY,ROOFTOP,İstanbul,Kartal,Cumhuriyet,34876,True,True,True,False,3,Marmara,Büyükşehir,Kuzey,Batı
Istanbul Gelişim University,"Istanbul Gelişim University, , Türkiye",38.963745,35.243322,ChIJcSZPllwVsBQRKl9iKtTb2UA,APPROXIMATE,,,,,False,False,False,False,2,Diğer,İl,Orta,Orta
Istanbul Health and Technology University,"Istanbul Health and Technology University, , Türkiye",41.0562536,28.9510734,ChIJvR5UiaO7yhQR9i1JBigPqnc,ROOFTOP,İstanbul,Beyoğlu,Sütlüce,34275,True,True,True,False,3,Marmara,Büyükşehir,Kuzey,Batı
Istanbul Kent University,"Istanbul Kent University, , Türkiye",41.033433,28.9840334,ChIJKZ-Rl2O3yhQRglXzzPR-0RM,ROOFTOP,İstanbul,Beyoğlu,Cihangir,34433,True,True,True,False,3,Marmara,Büyükşehir,Kuzey,Batı
Istanbul Kültür University,"Istanbul Kültür University, , Türkiye",40.9912928,28.8321354,ChIJscH94V6jyhQRtVlDay4himU,GEOMETRIC_CENTER,İstanbul,Bakırköy,Ataköy 7-8-9-10. Kısım,34158,True,True,True,False,4,Marmara,Büyükşehir,Kuzey,Batı
Istanbul Medipol University,"Istanbul Medipol University, , Türkiye",41.0909552,29.091972,ChIJm4E9BAO3yhQR6zURZYurnpA,GEOMETRIC_CENTER,İstanbul,Beykoz,Kavacık,34810,True,True,True,False,3,Marmara,Büyükşehir,Kuzey,Batı
Istanbul Nişantaşı University,"Istanbul Nişantaşı University, , Türkiye",41.0082376,28.9783589,ChIJawhoAASnyhQR0LABvJj-zOE,APPROXIMATE,İstanbul,,,,False,False,False,False,2,Marmara,Büyükşehir,Kuzey,Batı
Istanbul Okan University,"Istanbul Okan University, , Türkiye",40.951848,29.3921173,ChIJyw8QD7XXyhQRdmp8_D1q_ks,GEOMETRIC_CENTER,İstanbul,Tuzla,Tepeören,34959,True,True,True,False,3,Marmara,Büyükşehir,Kuzey,Batı
Istanbul Rumeli University,"Istanbul Rumeli University, , Türkiye",41.0787145,28.2700921,ChIJWxOBYyI_tRQRH1RQihX9ZhQ,ROOFTOP,İstanbul,Silivri,Yeni,34570,True,True,True,False,3,Marmara,Büyükşehir,Kuzey,Batı
Istanbul Sabahattin Zaim University,"Istanbul Sabahattin Zaim University, , Türkiye",41.0331205,28.7884944,ChIJ21KfozikyhQRlvoGxN0g66Q,GEOMETRIC_CENTER,İstanbul,Küçükçekmece,Halkalı Merkez,34303,True,True,True,False,4,Marmara,Büyükşehir,Kuzey,Batı
Istanbul Topkapı University,"Istanbul Topkapı University, , Türkiye",40.9951813,28.9176085,ChIJIQRiufe3yhQRz2KutFKRlf4,ROOFTOP,İstanbul,Zeytinburnu,Kazlıçeşme,34087,True,True,True,False,3,Marmara,Büyükşehir,Kuzey,Batı
Istanbul Yeni Yüzyıl University,"Istanbul Yeni Yüzyıl University, , Türkiye",41.0082376,28.9783589,ChIJawhoAASnyhQR0LABvJj-zOE,APPROXIMATE,İstanbul,,,,False,False,False,False,2,Marmara,Büyükşehir,Kuzey,Batı
Işık University,"Işık University, , Türkiye",41.16889949999999,29.5639972,ChIJmdUZcaYynkAR8PItHWEo4vQ,GEOMETRIC_CENTER,İstanbul,Şile,Meşrutiyet,34980,True,True,True,False,3,Marmara,Büyükşehir,Kuzey,Batı
İstinye University,"İstinye University, , Türkiye",41.014689,28.9054296,ChIJIQVS-P-6yhQRl1mzdr8KyJY,ROOFTOP,İstanbul,Zeytinburnu,Maltepe,34010,True,True,True,False,3,Marmara,Büyükşehir,Kuzey,Batı
Kadir Has University,"Kadir Has University, , Türkiye",41.0249511,28.9589739,ChIJF261KvG5yhQR_cvXh_a7hZQ,GEOMETRIC_CENTER,İstanbul,Fatih,Cibali,34083,True,True,True,False,3,Marmara,Büyükşehir,Kuzey,Batı
Koç University,"Koç University, , Türkiye",41.20543,29.0724115,ChIJLx5P-5Pgn0ARUFOEXCiJG7U,GEOMETRIC_CENTER,İstanbul,Sarıyer,Rumelifeneri,34450,True,True,True,False,3,Marmara,Büyükşehir,Kuzey,Batı
Maltepe University,"Maltepe University, , Türkiye",40.961244,29.19174439999999,ChIJtReJzBHFyhQRS_Xc_IS3usY,GEOMETRIC_CENTER,İstanbul,Maltepe,Büyükbakkalköy,34858,True,True,True,False,3,Marmara,Büyükşehir,Kuzey,Batı
MEF University,"MEF University, , Türkiye",41.1088445,29.0085964,ChIJsWLFqc-1yhQR1oVuVidjT9k,ROOFTOP,İstanbul,Sarıyer,Huzur,34396,True,True,True,False,3,Marmara,Büyükşehir,Kuzey,Batı
Özyeğin University,"Özyeğin University, , Türkiye",41.0306101,29.2583051,ChIJp7dz7CDSyhQRqQh07h_nTQY,ROOFTOP,İstanbul,Çekmeköy,Nişantepe,34794,True,True,True,False,3,Marmara,Büyükşehir,Kuzey,Batı
Piri Reis University,"Piri Reis University, , Türkiye",40.8149217,29.2903946,ChIJa79b6SrcyhQRMSoslAyhmhY,ROOFTOP,İstanbul,Tuzla,Postane,34940,True,True,True,False,4,Marmara,Büyükşehir,Orta-Kuzey,Batı
Sabancı University,"Sabancı University, , Türkiye",40.8910054,29.3783373,ChIJg1umVADZyhQRF5A9NGkUgVg,GEOMETRIC_CENTER,İstanbul,Tuzla,Orta,34956,True,True,True,False,3,Marmara,Büyükşehir,Kuzey,Batı
Üsküdar University,"Üsküdar University, , Türkiye",41.0249642,29.0388276,ChIJ8Wq5ueS3yhQRKt6wmuog73g,ROOFTOP,İstanbul,Üsküdar,Altunizade,34662,True,True,True,False,4,Marmara,Büyükşehir,Kuzey,Batı
Yeditepe University,"Yeditepe University, , Türkiye",40.9719767,29.1522123,ChIJHVV4ve_FyhQRJcn35slKrC0,ROOFTOP,İstanbul,Ataşehir,İnönü,34755,True,True,True,False,4,Marmara,Büyükşehir,Kuzey,Batı
Dokuz Eylül University,"Dokuz Eylül University, İzmir, Türkiye",38.430691,27.13692,ChIJwSQk-o5huRQRgRJRJA83fDg,ROOFTOP,İzmir,Konak,Kültür,35220,True,True,True,False,3,Ege,Büyükşehir,Güney-Orta,Batı
Ege University,"Ege University, , Türkiye",38.4576377,27.2106423,ChIJcf7-QS59uRQRNkuXNKYZs1o,GEOMETRIC_CENTER,İzmir,Bornova,Kazımdirik,35100,False,True,True,False,4,Ege,Büyükşehir,Güney-Orta,Batı
İzmir Institute of Technology,"İzmir Institute of Technology, , Türkiye",38.3190947,26.6432058,ChIJq6qqqvmQuxQRyQNl_qDBcO0,GEOMETRIC_CENTER,İzmir,Urla,Gülbahçe,35433,True,True,True,False,3,Ege,Büyükşehir,Güney-Orta,Batı
Yaşar University,"Yaşar University, , Türkiye",38.4547698,27.2022886,ChIJg0SJuTR9uRQRmWLvl0Kkzgw,GEOMETRIC_CENTER,İzmir,Bornova,Kazımdirik,35100,True,True,True,False,4,Ege,Büyükşehir,Güney-Orta,Batı
İzmir Kâtip Çelebi University,"İzmir Kâtip Çelebi University, , Türkiye",38.5153703,27.0312459,ChIJ8QtOb6bQuxQRFLBFylIo4LQ,ROOFTOP,İzmir,Çiğli,Balatçık,35620,True,True,True,False,3,Ege,Büyükşehir,Güney-Orta,Batı
İzmir Bakırçay University,"İzmir Bakırçay University, , Türkiye",38.5820911,26.9637778,ChIJARIpcA3OuxQR2SvnLun3CcM,GEOMETRIC_CENTER,İzmir,Menemen,Gazi Mustafa Kemal,35665,True,True,True,False,3,Ege,Büyükşehir,Güney-Orta,Batı
İzmir Democracy University,"İzmir Democracy University, , Türkiye",38.3935839,27.0737647,ChIJsVAyzQLcuxQRZYYu-IC3C9s,ROOFTOP,İzmir,Karabağlar,Üçkuyular,35140,True,True,True,False,3,Ege,Büyükşehir,Güney-Orta,Batı
İzmir University of Economics,"İzmir University of Economics, , Türkiye",38.3877986,27.0446077,ChIJoYsFKUXcuxQRIOnWt-DOaY4,ROOFTOP,İzmir,Balçova,Fevzi Çakmak,35330,True,True,True,False,3,Ege,Büyükşehir,Güney-Orta,Batı
İzmir Tınaztepe University,"İzmir Tınaztepe University, , Türkiye",38.4046905,27.1991139,ChIJ5WKh-OdjuRQR-MLBExllFT4,ROOFTOP,İzmir,Buca,Aydoğdu,35400,True,True,True,False,3,Ege,Büyükşehir,Güney-Orta,Batı
Kahramanmaraş İstiklal University,"Kahramanmaraş İstiklal University, Kahramanmaraş, Türkiye",37.5734609,36.9337471,ChIJs4TwaU7dLRURjDBvGuqzxB4,ROOFTOP,Kahramanmaraş,Dulkadiroğlu,Menderes,46060,True,True,True,False,3,Diğer,İl,Güney-Orta,Orta
Kahramanmaraş Sütçü İmam University,"Kahramanmaraş Sütçü İmam University, , Türkiye",37.5858082,36.8193344,ChIJZ2pKPwrdLRURF5E0UvwuS1I,GEOMETRIC_CENTER,Kahramanmaraş,Onikişubat,Avşar,46050,True,True,True,False,5,Diğer,İl,Güney-Orta,Orta
Karabük University,"Karabük University, Karabük, Türkiye",41.2128454,32.6543825,EkRLxLFsYXZ1emxhciwgS2FyYWLDvGsgw5xudi4geW9sdSwgS2FyYWLDvGsgTWVya2V6L0thcmFiw7xrLCBUw7xya2l5ZSIuKiwKFAoSCUXoYhJaU4NAEd6S3HLKStvYEhQKEgmj9FXKNVODQBFUqfC46knBWA,GEOMETRIC_CENTER,Karabük,Karabük Merkez,Kılavuzlar,,False,False,False,False,1,Diğer,İl,Kuzey,Batı-Orta
Karamanoğlu Mehmetbey University,"Karamanoğlu Mehmetbey University, Karaman, Türkiye",37.177263,33.2540512,ChIJE5F-AmON2RQR2M5zzWzuWvQ,GEOMETRIC_CENTER,Karaman,Karaman Merkez,Üniversite,70100,True,True,True,False,3,Diğer,İl,Güney,Batı-Orta
Kafkas University,"Kafkas University, Kars, Türkiye",40.5838495,43.06634990000001,ChIJP9jh-fOFaUARdGA4Aup2q8A,GEOMETRIC_CENTER,Kars,Kars Merkez,Merkez,36000,True,True,True,False,5,Diğer,İl,Orta-Kuzey,Doğu
Kastamonu University,"Kastamonu University, Kastamonu, Türkiye",41.3859358,33.7802577,ChIJoa1VVQj6hEARQ_BF9uGR36M,GEOMETRIC_CENTER,Kastamonu,Kastamonu Merkez,Aktekke,37200,False,False,False,False,1,Diğer,İl,Kuzey,Orta
Abdullah Gül University,"Abdullah Gül University, Kayseri, Türkiye",38.737118,35.473534,ChIJeWoigowRKxURRm3nPviGVJ4,GEOMETRIC_CENTER,Kayseri,Kocasinan,Barbaros,38080,True,True,True,False,4,İç Anadolu,İl,Orta,Orta
Erciyes University,"Erciyes University, , Türkiye",38.7103265,35.5336511,ChIJZTRXsIANKxURAAszI8Zf5cY,ROOFTOP,Kayseri,Talas,Yenidoğan,38280,True,True,True,False,3,İç Anadolu,İl,Orta,Orta
Kayseri University,"Kayseri University, , Türkiye",38.720489,35.48259700000001,ChIJT6ekPx0OKxURpy1MWk2MvYQ,APPROXIMATE,Kayseri,,,,False,False,False,False,2,İç Anadolu,İl,Orta,Orta
Nuh Naci Yazgan University,"Nuh Naci Yazgan University, , Türkiye",38.785728,35.4063701,ChIJ7_b-f44QKxURjnYm8APER1s,GEOMETRIC_CENTER,Kayseri,Kocasinan,Ertuğrul Gazi,38170,True,True,True,False,3,İç Anadolu,İl,Orta,Orta
Kırıkkale University,"Kırıkkale University, Kırıkkale, Türkiye",39.8170209,33.496999,ChIJr-UFYTDL1BQR8X3LVlWy1-k,GEOMETRIC_CENTER,Kırıkkale,Kırıkkale Merkez,Fabrikalar,71000,False,True,True,False,2,Diğer,İl,Orta-Kuzey,Orta
Kırklareli University,"Kırklareli University, Kırklareli, Türkiye",41.719316,27.195515,ChIJI0UDGptUp0ARd8VQhrnGbL4,ROOFTOP,Kırklareli,Kırklareli Merkez,Karahıdır,39010,True,True,True,False,3,Diğer,İl,Kuzey,Batı
Kırşehir Ahi Evran University,"Kırşehir Ahi Evran University, Kırşehir, Türkiye",39.14301580000001,34.1247846,ChIJkSJ7-tJy1RQRcs0AVzgUW38,ROOFTOP,Kırşehir,Kırşehir Merkez,Bağbaşı,40100,True,True,True,False,3,Diğer,İl,Orta,Orta
Kilis 7 Aralık University,"Kilis 7 Aralık University, Kilis, Türkiye",36.7315104,37.1030982,ChIJi9WmFHXOLxURxnxh23efffU,GEOMETRIC_CENTER,Kilis,Kilis Merkez,Mehmet Sanlı,79000,True,True,True,False,3,Diğer,İl,Güney,Orta-Doğu
Gebze Technical University,"Gebze Technical University, Kocaeli, Türkiye",40.8083101,29.359129,ChIJJ5FIr1beyhQRfwMkDZSI5Cg,ROOFTOP,Kocaeli,Gebze,Cumhuriyet,41400,True,True,True,False,3,Diğer,İl,Orta-Kuzey,Batı
Kocaeli University,"Kocaeli University, , Türkiye",40.7654408,29.9408089,ChIJnftLZGZPyxQRuX5rWOcOaYI,APPROXIMATE,Kocaeli,İzmit,,,False,False,False,False,2,Diğer,İl,Orta-Kuzey,Batı
Kocaeli Health and Technology University,"Kocaeli Health and Technology University, , Türkiye",40.6983463,29.8844326,ChIJ33DK3RdPyxQRHNB5zGi8keg,ROOFTOP,Kocaeli,Başiskele,Yeniköy Merkez,41275,True,True,True,False,3,Diğer,İl,Orta-Kuzey,Batı
Konya Technical University,"Konya Technical University, Konya, Türkiye",38.0075644,32.5187154,ChIJ2w4frq-F0BQR5pDipbod_7k,ROOFTOP,Konya,Selçuklu,Akademi,42250,True,True,True,False,3,İç Anadolu,Büyükşehir,Güney-Orta,Batı-Orta
Necmettin Erbakan University,"Necmettin Erbakan University, , Türkiye",37.8574367,32.4311568,ChIJ6y5N_3CF0BQRWo_gGYWBqno,ROOFTOP,Konya,Meram,Yaka,42090,True,True,True,False,3,İç Anadolu,Büyükşehir,Güney-Orta,Batı-Orta
Selçuk University,"Selçuk University, , Türkiye",38.0250468,32.5075193,ChIJl0lkyheN0BQRjCEMoh-A218,GEOMETRIC_CENTER,Konya,Selçuklu,Ardıçlı,42250,True,True,True,False,3,İç Anadolu,Büyükşehir,Güney-Orta,Batı-Orta
Konya Food and Agriculture University,"Konya Food and Agriculture University, , Türkiye",37.87621600000001,32.474196,ChIJQTOq0baF0BQRAVHM72eylyI,ROOFTOP,Konya,Meram,Melikşah,42080,True,True,True,False,3,İç Anadolu,Büyükşehir,Güney-Orta,Batı-Orta
KTO Karatay University,"KTO Karatay University, , Türkiye",37.8642745,32.5362875,ChIJbyEzUcua0BQRZPcfMdNRYiA,ROOFTOP,Konya,Karatay,Akabe,42020,True,True,True,False,3,İç Anadolu,Büyükşehir,Güney-Orta,Batı-Orta
Kütahya Dumlupınar University,"Kütahya Dumlupınar University, Kütahya, Türkiye",39.4785893,29.897568,ChIJdXDEGcRGyRQRovzvPbrMxAQ,ROOFTOP,Kütahya,Kütahya Merkez,Kirazpınar,43100,True,True,True,False,3,Diğer,İl,Orta,Batı
Kütahya Health Sciences University,"Kütahya Health Sciences University, , Türkiye",39.4199547,29.985732,ChIJI-RiFRdIyRQRPLnh7efEV3M,APPROXIMATE,Kütahya,Kütahya Merkez,,,False,False,False,False,2,Diğer,İl,Orta,Batı-Orta
İnönü University,"İnönü University, Malatya, Türkiye",38.3302973,38.4399655,ChIJe-1-QU84dkARSKNGdkpfE_A,ROOFTOP,Malatya,Battalgazi,Üniversite,44000,True,True,True,False,3,Doğu Anadolu,İl,Güney-Orta,Orta-Doğu
Malatya Turgut Özal University,"Malatya Turgut Özal University, , Türkiye",38.4635159,38.3551785,ChIJh3PfC0pKdkARJedtHemrrBE,GEOMETRIC_CENTER,Malatya,Battalgazi,Boran,44210,False,True,True,False,2,Doğu Anadolu,İl,Güney-Orta,Orta-Doğu
Manisa Celal Bayar University,"Manisa Celal Bayar University, Manisa, Türkiye",38.6112072,27.3791368,EkBVbmN1Ym96a8O2eSwgQ2VsYWwgQmF5YXIgw5xudi4sIDQ1MDMwIFl1bnVzZW1yZS9NYW5pc2EsIFTDvHJraXllIi4qLAoUChIJDbHHgdycuRQRPzK8JJ-frjwSFAoSCdWJDpWJnLkUESQpEJccauuI,GEOMETRIC_CENTER,Manisa,Yunusemre,Uncubozköy,45030,False,False,False,False,1,Ege,İl,Güney-Orta,Batı
Mardin Artuklu University,"Mardin Artuklu University, Mardin, Türkiye",37.3352521,40.7067008,ChIJr9j5dhiPCkAR5rRV_c8Kx6s,GEOMETRIC_CENTER,Mardin,Artuklu,Nur,47200,True,True,True,False,3,Diğer,İl,Güney,Doğu
Mersin University,"Mersin University, Mersin, Türkiye",36.7875032,34.5247267,ChIJcT9aPcmKJxURDpJ3v7xGuH4,GEOMETRIC_CENTER,Mersin,Yenişehir,Çiftlikköy,33110,True,True,True,False,3,Akdeniz,İl,Güney,Orta
Çağ University,"Çağ University, , Türkiye",36.9768298,35.0768636,ChIJk4StS5l5KBURAgo-0HAE4uo,ROOFTOP,Mersin,Tarsus,Yenice,33800,True,True,True,False,3,Akdeniz,İl,Güney,Orta
Tarsus University,"Tarsus University, , Türkiye",38.963745,35.243322,ChIJcSZPllwVsBQRKl9iKtTb2UA,APPROXIMATE,,,,,False,False,False,False,2,Diğer,İl,Orta,Orta
Toros University,"Toros University, , Türkiye",36.7947478,34.5915879,ChIJXT0nzZj0JxURxbmH79-58T0,ROOFTOP,Mersin,Yenişehir,Bahçelievler Kampüsü,33140,True,True,True,False,3,Akdeniz,İl,Güney,Orta
Muğla Sıtkı Koçman University,"Muğla Sıtkı Koçman University, Muğla, Türkiye",37.1644686,28.3736859,ChIJV0c7JslzvxQRpLcRCfogEDo,GEOMETRIC_CENTER,Muğla,Menteşe,Köstekli,48000,True,True,True,False,3,Ege,İl,Güney,Batı
Muş Alparslan University,"Muş Alparslan University, Muş, Türkiye",38.7702258,41.4268349,ChIJiVdkw7P6ckARfIkiou_1W4U,GEOMETRIC_CENTER,Muş,Muş Merkez,,49250,True,True,True,False,3,Diğer,İl,Orta,Doğu
Nevşehir Hacı Bektaş Veli University,"Nevşehir Hacı Bektaş Veli University, Nevşehir, Türkiye",38.6750934,34.7423163,ChIJ5VwvYIllKhUR9UKwYqjH7_k,GEOMETRIC_CENTER,Nevşehir,Nevşehir Merkez,2000 Evler,50300,True,True,True,False,3,Diğer,İl,Orta,Orta
Cappadocia University,"Cappadocia University, , Türkiye",38.5841444,34.8985715,ChIJe7TwLVZCKhURDcBowTMXib4,GEOMETRIC_CENTER,Nevşehir,Ürgüp,Yeni,50420,True,True,True,False,3,Diğer,İl,Güney-Orta,Orta
Niğde Ömer Halisdemir University,"Niğde Ömer Halisdemir University, Niğde, Türkiye",37.9414568,34.6243315,ChIJXeFaurDdKRUR_FOYzConwM8,GEOMETRIC_CENTER,Niğde,Niğde Merkez,Sarıköprü,51240,True,True,True,False,3,Diğer,İl,Güney-Orta,Orta
Ordu University,"Ordu University, Ordu, Türkiye",40.976293,37.9686298,ChIJV9LCs68YY0ARoZ0MZKVZsd4,GEOMETRIC_CENTER,Ordu,Altınordu,Cumhuriyet,52200,True,True,True,False,4,Karadeniz,İl,Kuzey,Orta-Doğu
Osmaniye Korkut Ata University,"Osmaniye Korkut Ata University, Osmaniye, Türkiye",37.0408458,36.2204845,ChIJq0EVE3wjLxURjAsyjvaD6zk,GEOMETRIC_CENTER,Osmaniye,Osmaniye Merkez,Fakıuşağı,80000,True,True,True,False,3,Diğer,İl,Güney,Orta
Recep Tayyip Erdoğan University,"Recep Tayyip Erdoğan University, Rize, Türkiye",41.025511,40.517666,ChIJN0Ky98N6ZkARVJv7mbgAWQE,APPROXIMATE,Rize,Rize Merkez,,,False,False,False,False,2,Diğer,İl,Kuzey,Orta-Doğu
Sakarya University,"Sakarya University, Sakarya, Türkiye",40.7426718,30.3307216,ChIJ11h5l_KtzBQRA0z5hKhvmcc,GEOMETRIC_CENTER,Sakarya,Serdivan,Esentepe,54050,True,True,True,False,3,Diğer,İl,Orta-Kuzey,Batı-Orta
Sakarya University of Applied Sciences,"Sakarya University of Applied Sciences, , Türkiye",40.7395079,30.3330672,ChIJA2B4BUGtzBQRyyirWT9Rs4k,GEOMETRIC_CENTER,Sakarya,Serdivan,Kemalpaşa,54050,True,True,True,False,3,Diğer,İl,Orta-Kuzey,Batı-Orta
Ondokuz Mayıs University,"Ondokuz Mayıs University, Samsun, Türkiye",41.3718295,36.210956,ChIJzX7dZ5F-iEARExS_Hf0xw9Q,GEOMETRIC_CENTER,Samsun,Atakum,Körfez,55270,True,True,True,False,5,Karadeniz,İl,Kuzey,Orta
Samsun University,"Samsun University, , Türkiye",40.9850384,35.7025088,ChIJ4Vle64Guh0ARihzsRim5T94,APPROXIMATE,Samsun,Havza,Üniversite,,False,False,False,False,2,Karadeniz,İl,Kuzey,Orta
Siirt University,"Siirt University, Siirt, Türkiye",37.9365612,41.9405008,ChIJ2bkc4b6HDEARDbLKEJ5cGD4,GEOMETRIC_CENTER,Siirt,Siirt Merkez,Yeni,56000,False,False,False,False,1,Diğer,İl,Güney-Orta,Doğu
Sinop University,"Sinop University, Sinop, Türkiye",42.005626,35.0907917,ChIJe_UmyGltj0AR9Nc8Ew7Qgew,ROOFTOP,Sinop,Sinop Merkez,Korucuk,57000,True,True,True,False,3,Diğer,İl,Kuzey,Orta
Sivas Cumhuriyet University,"Sivas Cumhuriyet University, Sivas, Türkiye",39.70618,37.0260009,ChIJVSwYMGVTeUARHPekHeL23nM,GEOMETRIC_CENTER,Sivas,Merkez Merkez,Yenişehir,58140,True,True,True,False,3,Diğer,İl,Orta,Orta-Doğu
Sivas University of Science and Technology,"Sivas University of Science and Technology, , Türkiye",39.7255449,36.9884091,ChIJ7VOdR4BUeUARC0SmwtU7HJA,ROOFTOP,Sivas,Sivas Merkez,Gültepe,58000,True,True,True,False,3,Diğer,İl,Orta,Orta
Harran University,"Harran University, Şanlıurfa, Türkiye",37.1552675,38.7968156,ChIJbX5GJrlxNBURAudeW6pXoOE,GEOMETRIC_CENTER,Şanlıurfa,,,,False,False,False,False,1,Diğer,İl,Güney,Orta-Doğu
Şırnak University,"Şırnak University, Şırnak, Türkiye",37.5059419,42.4261815,ChIJc2o4IMhVCUAR8pspKs7fnQ8,GEOMETRIC_CENTER,Şırnak,Şırnak Merkez,Yeni,73000,True,True,True,False,3,Diğer,İl,Güney,Doğu
Tekirdağ Namık Kemal University,"Tekirdağ Namık Kemal University, Tekirdağ, Türkiye",40.993504,27.584095,ChIJqZN9uf30tBQRvap5QbTO9Ac,GEOMETRIC_CENTER,Tekirdağ,Süleymanpaşa,Namık Kemal,59030,True,True,True,False,3,Diğer,İl,Kuzey,Batı
Tokat Gaziosmanpaşa University,"Tokat Gaziosmanpaşa University, Tokat, Türkiye",40.3310554,36.479688,ChIJx9-LpK65fUAR57n3BQkLTNQ,ROOFTOP,Tokat,Tokat Merkez,Gaziosmanpaşa Üniversitesi Kampüsü Mh,60250,True,True,True,False,3,Diğer,İl,Orta-Kuzey,Orta
Karadeniz Technical University,"Karadeniz Technical University, Trabzon, Türkiye",40.9977649,39.7707934,ChIJ-Z4Y9_U7ZEAR3NJnKIFXNkI,GEOMETRIC_CENTER,Trabzon,Ortahisar,Üniversite,61080,True,True,True,False,3,Karadeniz,İl,Kuzey,Orta-Doğu
Trabzon University,"Trabzon University, , Türkiye",41.0103496,39.6098145,ChIJfQwDkkkUZEARYMEEMSLn0W4,GEOMETRIC_CENTER,Trabzon,Akçaabat,Söğütlü,61335,True,True,True,False,3,Karadeniz,İl,Kuzey,Orta-Doğu
Avrasya University,"Avrasya University, , Türkiye",38.963745,35.243322,ChIJcSZPllwVsBQRKl9iKtTb2UA,APPROXIMATE,,,,,False,False,False,False,2,Diğer,İl,Orta,Orta
Munzur University,"Munzur University, Tunceli, Türkiye",39.0458013,39.5174454,ChIJ34n4864jcUARsTZ1TGcEoK4,GEOMETRIC_CENTER,Tunceli,Tunceli Merkez,Merkez,62000,True,True,True,False,3,Diğer,İl,Orta,Orta-Doğu
